"community","no of nodes","indegree","ind"," no of nodes max in","no of sink nodes"
"695","7710","9802051.0","1","7709","3763"
"696","4946","9808101.0","1","4945","2348"
"697","46","1094.0","1","45","24"
"698","4","9512083.0","1","3","2"
"699","13","7162.0","1","12","8"
"700","7314","9701065.0","1","7313","3555"
"701","23","9808062.0","1","22","9"
"702","12160","9505035.0","1","12159","6133"
"703","55","9503161.0","1","54","27"
"704","2","9807048.0","1","1","1"
"705","236","9805185.0","1","235","113"
"706","397","9603011.0","1","396","176"
"707","9511","9309154.0","1","9510","4737"
"708","175","9711146.0","1","174","77"
"709","8917","9612039.0","1","8916","4432"
"710","165","9612039.0","1","164","81"
"711","177","9612039.0","1","176","87"
"712","140","9605065.0","1","139","68"
"713","8572","9711146.0","1","8571","4214"
"714","8626","9711146.0","1","8625","4242"
"715","46","9712124.0","1","45","19"
"716","83","9704213.0","1","82","37"
"717","603","9711146.0","1","602","270"
"718","203","9805185.0","1","202","92"
"719","5","110261.0","1","4","3"
"720","3071","9610066.0","1","3070","1448"
"721","46","9805185.0","1","45","24"
"722","46","9712124.0","1","45","19"
"723","9348","9612080.0","1","9347","4627"
"724","8098","9709027.0","1","8097","3973"
"725","9540","9709027.0","1","9539","4738"
"726","7473","9903257.0","1","7472","3638"
"727","13081","9402002.0","1","13080","6647"
"728","13011","9304154.0","1","13010","6603"
"729","10755","9305016.0","1","10754","5383"
"730","11842","9403137.0","1","11841","5959"
"731","11946","9512127.0","1","11945","6021"
"732","11340","9504147.0","1","11339","5710"
"733","50","9907126.0","1","49","19"
"734","144","9810070.0","1","143","63"
"735","12169","9310118.0","1","12168","6126"
"736","170","9810070.0","1","169","77"
"737","175","9810070.0","1","174","79"
"738","175","9312005.0","1","174","79"
"739","5","210298.0","1","4","4"
"740","172","9502045.0","1","171","78"
"741","173","9502045.0","1","172","79"
"742","152","9504053.0","1","151","66"
"743","144","9703192.0","1","143","63"
"744","2","9609200.0","1","1","1"
"745","21","2098.0","1","20","12"
"746","591","7207.0","1","590","258"
"747","2","210197.0","1","1","1"
"748","3546","9901009.0","1","3545","1660"
"749","11801","9505035.0","1","11800","5957"
"750","9364","9701123.0","1","9363","4660"
"751","11776","9505035.0","1","11775","5944"
"752","11819","9505035.0","1","11818","5966"
"753","11780","9505035.0","1","11779","5946"
"754","11394","9511125.0","1","11393","5737"
"755","11517","9509161.0","1","11516","5788"
"756","9870","9707111.0","1","9869","4916"
"757","9897","9605225.0","1","9896","4939"
"758","3","2017.0","1","2","2"
"759","10","9904125.0","1","9","4"
"760","3","210312.0","1","2","2"
"761","2","9709095.0","1","1","1"
"762","4","7033.0","1","3","2"
"763","8370","9710025.0","1","8369","4122"
"764","10","9710025.0","1","9","6"
"765","75","9801192.0","1","74","32"
"766","7","9801192.0","1","6","4"
"767","8352","9801192.0","1","8351","4118"
"768","8469","9406212.0","1","8468","4205"
"769","24","9801192.0","1","23","12"
"770","4","9906170.0","1","3","3"
"771","4","9507134.0","1","3","1"
"772","9499","9709082.0","1","9498","4736"
"773","7280","9909228.0","1","7279","3532"
"774","2","3245.0","1","1","1"
"775","66","9402008.0","1","65","32"
"776","8","3159.0","1","7","4"
"777","71","9401059.0","1","70","37"
"778","56","9609174.0","1","55","25"
"779","58","9704055.0","1","57","27"
"780","54","9704056.0","1","53","26"
"781","51","9711047.0","1","50","22"
"782","49","9801133.0","1","48","22"
"783","33","9811212.0","1","32","14"
"784","32","9811212.0","1","31","13"
"785","19","9912207.0","1","18","10"
"786","11427","9312212.0","1","11426","5755"
"787","21","3244.0","1","20","7"
"788","11370","9503114.0","1","11369","5711"
"789","11345","9503114.0","1","11344","5690"
"790","12293","104138.0","1","12292","6211"
"791","12319","9402031.0","1","12318","6223"
"792","12368","9305040.0","1","12367","6227"
"793","12506","9303032.0","1","12505","6296"
"794","11939","9410142.0","1","11938","5995"
"795","8130","9903170.0","1","8129","3985"
"796","12297","9709071.0","1","12296","6182"
"797","460","9709071.0","1","459","202"
"798","8","7216.0","1","7","5"
"799","3","9507126.0","1","2","1"
"800","2","9207012.0","1","1","1"
"801","6","9706190.0","1","5","2"
"802","8416","9403104.0","1","8415","4157"
"803","8935","9302026.0","1","8934","4449"
"804","7403","9701078.0","1","7402","3602"
"805","2","1117.0","1","1","1"
"806","7975","9506041.0","1","7974","3898"
"807","4","9412220.0","1","3","2"
"808","1521","9506041.0","1","1520","695"
"809","1508","9506041.0","1","1507","691"
"810","1506","9506041.0","1","1505","688"
"811","8802","3064.0","1","8801","4387"
"812","8810","9601069.0","1","8809","4382"
"813","7506","9702053.0","1","7505","3664"
"814","14","9909026.0","1","13","7"
"815","3404","1121.0","1","3403","1603"
"816","8854","9803107.0","1","8853","4414"
"817","637","2044.0","1","636","283"
"818","4853","9810008.0","1","4852","2317"
"819","3631","9809035.0","1","3630","1715"
"820","3631","9903238.0","1","3630","1716"
"821","11267","9506200.0","1","11266","5665"
"822","8776","207013.0","1","8775","4359"
"823","747","12108.0","1","746","342"
"824","1460","9905146.0","1","1459","668"
"825","7652","9712130.0","1","7651","3741"
"826","488","9607153.0","1","487","216"
"827","534","9611145.0","1","533","238"
"828","9456","9307045.0","1","9455","4698"
"829","1185","1124.0","1","1184","550"
"830","7382","9401137.0","1","7381","3575"
"831","9349","9806241.0","1","9348","4648"
"832","9","1124.0","1","8","2"
"833","1185","9806241.0","1","1184","550"
"834","489","9502109.0","1","488","218"
"835","7371","9409064.0","1","7370","3569"
"836","7476","9401137.0","1","7475","3623"
"837","9632","9304050.0","1","9631","4767"
"838","9367","9906130.0","1","9366","4660"
"839","7403","9409064.0","1","7402","3586"
"840","657","9305041.0","1","656","303"
"841","7378","9401137.0","1","7377","3573"
"842","7398","9810095.0","1","7397","3607"
"843","9449","9312175.0","1","9448","4702"
"844","5083","9905144.0","1","5082","2431"
"845","2","9610110.0","1","1","1"
"846","154","205132.0","1","153","64"
"847","9597","9811101.0","1","9596","4767"
"848","11","10098.0","1","10","5"
"849","11345","9502069.0","1","11344","5680"
"850","3","9702009.0","1","2","1"
"851","1767","9806167.0","1","1766","806"
"852","9547","9701166.0","1","9546","4760"
"853","9761","1128.0","1","9760","4831"
"854","9674","9301018.0","1","9673","4780"
"855","3","9711019.0","1","2","1"
"856","801","9506023.0","1","800","370"
"857","4","9506215.0","1","3","1"
"858","1200","9412127.0","1","1199","577"
"859","1257","9506169.0","1","1256","594"
"860","2","107248.0","1","1","1"
"861","3067","9412213.0","1","3066","1441"
"862","95","9506169.0","1","94","45"
"863","119","9907125.0","1","118","51"
"864","82","9311058.0","1","81","37"
"865","42","9810006.0","1","41","19"
"866","3","9505066.0","1","2","2"
"867","158","9810006.0","1","157","78"
"868","2734","1185.0","1","2733","1288"
"869","11","106069.0","1","10","5"
"870","2931","9205024.0","1","2930","1376"
"871","9099","9902011.0","1","9098","4512"
"872","293","9902011.0","1","292","130"
"873","41","9803005.0","1","40","18"
"874","2904","9902011.0","1","2903","1365"
"875","92","9902011.0","1","91","42"
"876","43","9803005.0","1","42","20"
"877","9","106069.0","1","8","4"
"878","42","9901145.0","1","41","22"
"879","2854","9912196.0","1","2853","1337"
"880","20","2219.0","1","19","9"
"881","118","9412062.0","1","117","58"
"882","37","9802154.0","1","36","19"
"883","23","9902090.0","1","22","10"
"884","10655","9412077.0","1","10654","5347"
"885","9265","9512005.0","1","9264","4574"
"886","5","4152.0","1","4","1"
"887","9393","9194.0","1","9392","4647"
"888","7273","9808048.0","1","7272","3535"
"889","106","9611150.0","1","105","47"
"890","161","9903249.0","1","160","76"
"891","7288","9804164.0","1","7287","3560"
"892","7","1136.0","1","6","3"
"893","446","2088.0","1","445","200"
"894","11","1136.0","1","10","5"
"895","898","9611054.0","1","897","417"
"896","3","9604135.0","1","2","2"
"897","10","9703168.0","1","9","4"
"898","6","9806206.0","1","5","3"
"899","2","2162.0","1","1","1"
"900","3354","9508015.0","1","3353","1588"
"901","34","9803007.0","1","33","14"
"902","75","9803007.0","1","74","37"
"903","7273","9812062.0","1","7272","3523"
"904","398","9811209.0","1","397","171"
"905","10","1142.0","1","9","5"
"906","6","9809052.0","1","5","2"
"907","11120","9512062.0","1","11119","5591"
"908","52","9602101.0","1","51","27"
"909","7274","9902059.0","1","7273","3537"
"910","3592","9410241.0","1","3591","1682"
"911","12","107193.0","1","11","7"
"912","2","1146.0","1","1","1"
"913","533","9812233.0","1","532","241"
"914","7433","1148.0","1","7432","3644"
"915","1531","9401149.0","1","1530","705"
"916","7501","9605001.0","1","7500","3659"
"917","880","9605072.0","1","879","402"
"918","7461","9605001.0","1","7460","3641"
"919","7466","9605001.0","1","7465","3643"
"920","7450","9701078.0","1","7449","3638"
"921","7342","9712095.0","1","7341","3579"
"922","7919","9611233.0","1","7918","3881"
"923","7278","1150.0","1","7277","3537"
"924","9535","9502141.0","1","9534","4743"
"925","2775","9707110.0","1","2774","1295"
"926","2730","1216.0","1","2729","1278"
"927","9463","9411051.0","1","9462","4675"
"928","26","9911107.0","1","25","12"
"929","683","9602009.0","1","682","302"
"930","4","1155.0","1","3","3"
"931","32","9701005.0","1","31","17"
"932","3","1156.0","1","2","2"
"933","3203","2113.0","1","3202","1510"
"934","626","9503113.0","1","625","292"
"935","3","108177.0","1","2","2"
"936","29","9605048.0","1","28","15"
"937","30","9811043.0","1","29","15"
"938","4857","9308020.0","1","4856","2319"
"939","1024","9303082.0","1","1023","476"
"940","1113","9502032.0","1","1112","520"
"941","5229","9506186.0","1","5228","2501"
"942","5206","9806121.0","1","5205","2492"
"943","7634","3190.0","1","7633","3707"
"944","9133","9408160.0","1","9132","4509"
"945","5248","9503141.0","1","5247","2511"
"946","7403","9606130.0","1","7402","3586"
"947","53","9610084.0","1","52","28"
"948","599","9608083.0","1","598","271"
"949","7418","9511063.0","1","7417","3598"
"950","7353","9609022.0","1","7352","3563"
"951","3418","9305163.0","1","3417","1623"
"952","7346","9205103.0","1","7345","3580"
"953","55","9402033.0","1","54","33"
"954","3364","9610144.0","1","3363","1590"
"955","31","1162.0","1","30","15"
"956","10065","9208053.0","1","10064","5021"
"957","9022","9503125.0","1","9021","4488"
"958","9128","9410105.0","1","9127","4548"
"959","8812","2093.0","1","8811","4381"
"960","4669","9702049.0","1","4668","2232"
"961","11","1163.0","1","10","5"
"962","3067","9705151.0","1","3066","1452"
"963","1994","210310.0","1","1993","925"
"964","12","9910139.0","1","11","5"
"965","2935","9808045.0","1","2934","1401"
"966","993","9911072.0","1","992","465"
"967","75","1164.0","1","74","41"
"968","81","9809108.0","1","80","40"
"969","11604","9912111.0","1","11603","5813"
"970","3390","9908018.0","1","3389","1591"
"971","94","9309144.0","1","93","44"
"972","9657","9403094.0","1","9656","4771"
"973","9836","9306102.0","1","9835","4856"
"974","11492","9312212.0","1","11491","5785"
"975","9461","9302014.0","1","9460","4694"
"976","3016","9403094.0","1","3015","1416"
"977","2","9411038.0","1","1","1"
"978","9321","9410228.0","1","9320","4634"
"979","8767","9505012.0","1","8766","4347"
"980","11092","9505012.0","1","11091","5581"
"981","9991","9707111.0","1","9990","4941"
"982","11275","9805212.0","1","11274","5650"
"983","11239","9511125.0","1","11238","5657"
"984","9204","9603140.0","1","9203","4586"
"985","8715","9701014.0","1","8714","4334"
"986","11219","9701123.0","1","11218","5652"
"987","3561","9710239.0","1","3560","1681"
"988","11298","9509151.0","1","11297","5661"
"989","9518","9910033.0","1","9517","4727"
"990","3","9709207.0","1","2","1"
"991","22","9911022.0","1","21","8"
"992","302","11227.0","1","301","135"
"993","94","9808042.0","1","93","40"
"994","2377","9912092.0","1","2376","1119"
"995","7371","1169.0","1","7370","3606"
"996","7359","9712115.0","1","7358","3598"
"997","7313","9904117.0","1","7312","3551"
"998","45","9805044.0","1","44","20"
"999","2310","2139.0","1","2309","1076"
"1000","3041","9610191.0","1","3040","1443"
"1001","11","9511141.0","1","10","1"
"1002","60","9902192.0","1","59","27"
"1003","4","109078.0","1","3","2"
"1004","47","1185.0","1","46","23"
"1005","779","6156.0","1","778","358"
"1006","2865","9701107.0","1","2864","1346"
"1007","2","302185.0","1","1","1"
"1008","4","9906120.0","1","3","2"
"1009","1406","9304149.0","1","1405","666"
"1010","274","9910102.0","1","273","128"
"1011","5","4122.0","1","4","2"
"1012","8","9912084.0","1","7","3"
"1013","7","9912084.0","1","6","2"
"1014","10","1174.0","1","9","6"
"1015","8969","9312206.0","1","8968","4468"
"1016","35","3135.0","1","34","17"
"1017","7880","9611070.0","1","7879","3874"
"1018","38","9608160.0","1","37","17"
"1019","7505","9610101.0","1","7504","3662"
"1020","11","9904102.0","1","10","6"
"1021","25","9801169.0","1","24","12"
"1022","7438","9801169.0","1","7437","3633"
"1023","35","9801169.0","1","34","21"
"1024","2","5252.0","1","1","1"
"1025","10206","9406216.0","1","10205","5080"
"1026","7439","9501066.0","1","7438","3610"
"1027","7402","9705035.0","1","7401","3591"
"1028","5255","9503097.0","1","5254","2526"
"1029","2","9707103.0","1","1","1"
"1030","3652","9709066.0","1","3651","1728"
"1031","10757","9503016.0","1","10756","5377"
"1032","4","9607178.0","1","3","2"
"1033","7360","9803209.0","1","7359","3574"
"1034","515","9706154.0","1","514","232"
"1035","872","1180.0","1","871","403"
"1036","22","9504007.0","1","21","10"
"1037","1907","9405026.0","1","1906","875"
"1038","884","9501101.0","1","883","410"
"1039","863","9803038.0","1","862","398"
"1040","1791","9406029.0","1","1790","822"
"1041","4","9406028.0","1","3","2"
"1042","7282","9506059.0","1","7281","3519"
"1043","976","4170.0","1","975","449"
"1044","7618","3298.0","1","7617","3703"
"1045","7534","9903045.0","1","7533","3657"
"1046","10","103222.0","1","9","5"
"1047","2","9807002.0","1","1","1"
"1048","17","109097.0","1","16","9"
"1049","8187","9906243.0","1","8186","4018"
"1050","11342","9906243.0","1","11341","5701"
"1051","58","1185.0","1","57","27"
"1052","2865","9304051.0","1","2864","1345"
"1053","243","9307166.0","1","242","102"
"1054","9619","9412154.0","1","9618","4753"
"1055","2","107030.0","1","1","1"
"1056","2","206082.0","1","1","1"
"1057","7298","9805080.0","1","7297","3551"
"1058","2691","9805080.0","1","2690","1270"
"1059","11204","9611120.0","1","11203","5645"
"1060","2690","9904182.0","1","2689","1270"
"1061","2657","4073.0","1","2656","1244"
"1062","7302","9410152.0","1","7301","3562"
"1063","7","9912253.0","1","6","3"
"1064","7318","9809004.0","1","7317","3566"
"1065","7335","9810104.0","1","7334","3572"
"1066","2057","9910058.0","1","2056","940"
"1067","7328","9810104.0","1","7327","3571"
"1068","7325","9810104.0","1","7324","3569"
"1069","782","9902157.0","1","781","370"
"1070","5","1196.0","1","4","2"
"1071","7","9506175.0","1","6","3"
"1072","3","1196.0","1","2","2"
"1073","7573","9509105.0","1","7572","3671"
"1074","273","5098.0","1","272","121"
"1075","2604","1200.0","1","2603","1211"
"1076","982","9810044.0","1","981","454"
"1077","19","12060.0","1","18","10"
"1078","7952","9705038.0","1","7951","3884"
"1079","4","9901068.0","1","3","2"
"1080","95","9806174.0","1","94","39"
"1081","7299","9903042.0","1","7298","3564"
"1082","2249","9808140.0","1","2248","1051"
"1083","2049","2130.0","1","2048","948"
"1084","4","11005.0","1","3","1"
"1085","2","9911220.0","1","1","1"
"1086","8032","9503017.0","1","8031","3942"
"1087","3","104222.0","1","2","2"
"1088","16","9706056.0","1","15","8"
"1089","4","1210.0","1","3","2"
"1090","13","9706056.0","1","12","6"
"1091","7769","9704059.0","1","7768","3786"
"1092","3317","9710149.0","1","3316","1557"
"1093","7768","9704059.0","1","7767","3785"
"1094","5144","9711178.0","1","5143","2453"
"1095","12252","9504081.0","1","12251","6158"
"1096","7351","9809160.0","1","7350","3569"
"1097","573","9909143.0","1","572","257"
"1098","17","9912172.0","1","16","10"
"1099","7584","9907114.0","1","7583","3705"
"1100","2","301067.0","1","1","1"
"1101","249","103235.0","1","248","110"
"1102","3094","9702035.0","1","3093","1471"
"1103","8851","9803107.0","1","8850","4407"
"1104","8802","9611197.0","1","8801","4377"
"1105","3404","9801157.0","1","3403","1605"
"1106","2","9806229.0","1","1","1"
"1107","9","1220.0","1","8","5"
"1108","1024","1221.0","1","1023","477"
"1109","33","9405055.0","1","32","16"
"1110","2","1221.0","1","1","1"
"1111","3","5258.0","1","2","1"
"1112","4","1221.0","1","3","2"
"1113","7","9405055.0","1","6","5"
"1114","2989","9607233.0","1","2988","1426"
"1115","12455","9607233.0","1","12454","6298"
"1116","3420","9607233.0","1","3419","1612"
"1117","11","9607233.0","1","10","3"
"1118","10163","1222.0","1","10162","5079"
"1119","57","9504018.0","1","56","23"
"1120","9003","9412213.0","1","9002","4452"
"1121","107","9407113.0","1","106","46"
"1122","10","9508141.0","1","9","4"
"1123","56","9211033.0","1","55","24"
"1124","56","9512174.0","1","55","24"
"1125","3323","9607161.0","1","3322","1561"
"1126","5","9407069.0","1","4","2"
"1127","104","9902008.0","1","103","43"
"1128","11835","9606016.0","1","11834","5963"
"1129","9335","9610045.0","1","9334","4648"
"1130","9311","9707090.0","1","9310","4609"
"1131","28","205079.0","1","27","9"
"1132","711","9510179.0","1","710","318"
"1133","3","210136.0","1","2","2"
"1134","23","9508176.0","1","22","12"
"1135","11508","9508176.0","1","11507","5772"
"1136","11577","9404186.0","1","11576","5805"
"1137","12677","9308068.0","1","12676","6410"
"1138","11450","9508044.0","1","11449","5736"
"1139","11488","2007.0","1","11487","5768"
"1140","11251","2007.0","1","11250","5648"
"1141","2107","9910028.0","1","2106","977"
"1142","10872","9706207.0","1","10871","5435"
"1143","10878","9602108.0","1","10877","5440"
"1144","7894","9601072.0","1","7893","3891"
"1145","570","5003.0","1","569","264"
"1146","2","203152.0","1","1","1"
"1147","2768","9911001.0","1","2767","1287"
"1148","635","7036.0","1","634","285"
"1149","7274","9806095.0","1","7273","3524"
"1150","3123","9704052.0","1","3122","1462"
"1151","3338","9905032.0","1","3337","1566"
"1152","3126","9706091.0","1","3125","1464"
"1153","659","9906217.0","1","658","299"
"1154","657","9906217.0","1","656","298"
"1155","3077","3292.0","1","3076","1461"
"1156","3022","9906248.0","1","3021","1431"
"1157","5","9610023.0","1","4","2"
"1158","535","9806038.0","1","534","237"
"1159","314","9610023.0","1","313","136"
"1160","7525","2043.0","1","7524","3674"
"1161","36","9504077.0","1","35","17"
"1162","11222","9510182.0","1","11221","5612"
"1163","11230","9510182.0","1","11229","5615"
"1164","11063","9510200.0","1","11062","5554"
"1165","10812","9603116.0","1","10811","5438"
"1166","2051","9610113.0","1","2050","956"
"1167","2","9707067.0","1","1","1"
"1168","2","210310.0","1","1","1"
"1169","6","2015.0","1","5","3"
"1170","2908","3019.0","1","2907","1383"
"1171","3278","9902051.0","1","3277","1537"
"1172","12028","9506126.0","1","12027","6051"
"1173","1105","7155.0","1","1104","510"
"1174","7308","9810021.0","1","7307","3535"
"1175","1254","9801195.0","1","1253","586"
"1176","203","103188.0","1","202","82"
"1177","2","9907174.0","1","1","1"
"1178","9216","9803046.0","1","9215","4580"
"1179","16","9502116.0","1","15","6"
"1180","15","9502116.0","1","14","6"
"1181","8185","9604196.0","1","8184","4026"
"1182","2984","9609202.0","1","2983","1421"
"1183","2966","9609202.0","1","2965","1412"
"1184","7929","9406103.0","1","7928","3884"
"1185","7333","9703136.0","1","7332","3553"
"1186","11229","9407018.0","1","11228","5650"
"1187","7288","9803046.0","1","7287","3541"
"1188","8063","9803046.0","1","8062","3976"
"1189","2","303180.0","1","1","1"
"1190","2157","9806231.0","1","2156","999"
"1191","8893","9612083.0","1","8892","4418"
"1192","3","9408100.0","1","2","1"
"1193","44","9905026.0","1","43","25"
"1194","8830","9812190.0","1","8829","4394"
"1195","6","9501107.0","1","5","2"
"1196","7323","9703074.0","1","7322","3571"
"1197","63","9612083.0","1","62","32"
"1198","13","9904125.0","1","12","5"
"1199","5","2022.0","1","4","3"
"1200","6","9412177.0","1","5","3"
"1201","2140","9030.0","1","2139","1012"
"1202","622","9805174.0","1","621","278"
"1203","36","9307156.0","1","35","17"
"1204","7397","9410093.0","1","7396","3611"
"1205","7389","9711035.0","1","7388","3613"
"1206","7435","9602054.0","1","7434","3625"
"1207","1938","9602054.0","1","1937","880"
"1208","3137","9504015.0","1","3136","1479"
"1209","2537","5090.0","1","2536","1189"
"1210","3","10110.0","1","2","2"
"1211","9786","9604193.0","1","9785","4881"
"1212","77","9605121.0","1","76","31"
"1213","2226","9909203.0","1","2225","1019"
"1214","17","9611033.0","1","16","10"
"1215","11297","302059.0","1","11296","5687"
"1216","11307","9606090.0","1","11306","5693"
"1217","11319","9312187.0","1","11318","5675"
"1218","3161","9601072.0","1","3160","1489"
"1219","9162","9811002.0","1","9161","4531"
"1220","9803","2100.0","1","9802","4905"
"1221","7273","9907201.0","1","7272","3522"
"1222","9535","9410138.0","1","9534","4752"
"1223","9516","9412195.0","1","9515","4735"
"1224","4","9801124.0","1","3","2"
"1225","216","9710062.0","1","215","95"
"1226","7341","2034.0","1","7340","3580"
"1227","2101","9704202.0","1","2100","965"
"1228","27","9712147.0","1","26","13"
"1229","24","9906166.0","1","23","13"
"1230","33","9110.0","1","32","16"
"1231","49","2034.0","1","48","29"
"1232","32","2231.0","1","31","18"
"1233","17","103195.0","1","16","8"
"1234","7409","9410138.0","1","7408","3614"
"1235","7461","9501137.0","1","7460","3647"
"1236","7403","9602156.0","1","7402","3611"
"1237","7394","9512073.0","1","7393","3607"
"1238","7458","9511128.0","1","7457","3634"
"1239","45","9604125.0","1","44","22"
"1240","7455","9705088.0","1","7454","3634"
"1241","4296","9705088.0","1","4295","2052"
"1242","7382","9912248.0","1","7381","3603"
"1243","7315","9809004.0","1","7314","3565"
"1244","7314","9809004.0","1","7313","3564"
"1245","207","10054.0","1","206","89"
"1246","218","9902064.0","1","217","95"
"1247","34","9908043.0","1","33","18"
"1248","36","2038.0","1","35","20"
"1249","9018","9209036.0","1","9017","4482"
"1250","15","9311167.0","1","14","7"
"1251","9903","9608082.0","1","9902","4940"
"1252","303","9710210.0","1","302","135"
"1253","5","9909023.0","1","4","2"
"1254","6","9909023.0","1","5","3"
"1255","7","109224.0","1","6","3"
"1256","5","9808151.0","1","4","3"
"1257","2","9909066.0","1","1","1"
"1258","25","6036.0","1","24","14"
"1259","33","9310201.0","1","32","17"
"1260","3","9308095.0","1","2","2"
"1261","34","5232.0","1","33","18"
"1262","8","9404109.0","1","7","4"
"1263","8759","9505012.0","1","8758","4342"
"1264","13","9506005.0","1","12","7"
"1265","10","9509015.0","1","9","5"
"1266","686","9607147.0","1","685","307"
"1267","5","9804133.0","1","4","2"
"1268","14","9809119.0","1","13","8"
"1269","11947","9306069.0","1","11946","6026"
"1270","11301","9506146.0","1","11300","5691"
"1271","11305","9710165.0","1","11304","5705"
"1272","2","9602072.0","1","1","1"
"1273","975","9705136.0","1","974","457"
"1274","986","9705136.0","1","985","464"
"1275","90","9711184.0","1","89","46"
"1276","3017","9711184.0","1","3016","1439"
"1277","23","9803153.0","1","22","10"
"1278","9","9804098.0","1","8","6"
"1279","4","2060.0","1","3","1"
"1280","10","3001.0","1","9","4"
"1281","9555","9506109.0","1","9554","4757"
"1282","9369","9805110.0","1","9368","4649"
"1283","9390","304073.0","1","9389","4680"
"1284","7","2062.0","1","6","4"
"1285","6","2062.0","1","5","4"
"1286","7361","9511151.0","1","7360","3594"
"1287","7371","9904189.0","1","7370","3591"
"1288","323","9307104.0","1","322","144"
"1289","11276","9307042.0","1","11275","5667"
"1290","8","9501093.0","1","7","5"
"1291","2","205276.0","1","1","1"
"1292","2","9407144.0","1","1","1"
"1293","10791","9308106.0","1","10790","5393"
"1294","32","211079.0","1","31","15"
"1295","56","2065.0","1","55","25"
"1296","2762","9311027.0","1","2761","1297"
"1297","1347","9501098.0","1","1346","636"
"1298","9070","9502011.0","1","9069","4490"
"1299","9075","9502011.0","1","9074","4493"
"1300","8930","9502011.0","1","8929","4423"
"1301","198","9502011.0","1","197","84"
"1302","1246","9706203.0","1","1245","587"
"1303","4179","9407109.0","1","4178","1968"
"1304","7361","9804001.0","1","7360","3587"
"1305","7353","9804001.0","1","7352","3582"
"1306","3","9612177.0","1","2","2"
"1307","3325","9812180.0","1","3324","1584"
"1308","3317","9812180.0","1","3316","1579"
"1309","3073","9903239.0","1","3072","1459"
"1310","2","9512170.0","1","1","1"
"1311","17","206052.0","1","16","8"
"1312","7366","9501083.0","1","7365","3591"
"1313","116","9411195.0","1","115","49"
"1314","9876","9505170.0","1","9875","4932"
"1315","1763","9909061.0","1","1762","801"
"1316","7","6032.0","1","6","4"
"1317","4","9404127.0","1","3","3"
"1318","1004","9512036.0","1","1003","465"
"1319","1005","9512036.0","1","1004","466"
"1320","3026","9508136.0","1","3025","1435"
"1321","4","9805044.0","1","3","2"
"1322","2964","9805044.0","1","2963","1412"
"1323","21","9608180.0","1","20","10"
"1324","526","2247.0","1","525","231"
"1325","5","9706044.0","1","4","1"
"1326","16","9608180.0","1","15","7"
"1327","11053","9804206.0","1","11052","5541"
"1328","16","9809160.0","1","15","6"
"1329","9265","9811140.0","1","9264","4592"
"1330","9394","2080.0","1","9393","4648"
"1331","9391","9501144.0","1","9390","4646"
"1332","9392","9501144.0","1","9391","4647"
"1333","9401","9501144.0","1","9400","4652"
"1334","9392","9501144.0","1","9391","4647"
"1335","9393","9501144.0","1","9392","4647"
"1336","8","9503021.0","1","7","3"
"1337","7304","9703028.0","1","7303","3533"
"1338","2","12257.0","1","1","1"
"1339","9925","9507083.0","1","9924","4942"
"1340","101","2081.0","1","100","48"
"1341","11","2081.0","1","10","6"
"1342","5","2081.0","1","4","3"
"1343","3","2081.0","1","2","2"
"1344","2","2081.0","1","1","1"
"1345","12353","9211040.0","1","12352","6224"
"1346","3170","9212113.0","1","3169","1483"
"1347","3172","9212113.0","1","3171","1485"
"1348","7328","9601056.0","1","7327","3541"
"1349","26","9704065.0","1","25","14"
"1350","5","9803022.0","1","4","1"
"1351","10","9805179.0","1","9","5"
"1352","3148","9207009.0","1","3147","1474"
"1353","7","2083.0","1","6","5"
"1354","4","9121.0","1","3","2"
"1355","2913","9904091.0","1","2912","1382"
"1356","3","9407195.0","1","2","1"
"1357","2901","9904091.0","1","2900","1375"
"1358","3510","5273.0","1","3509","1648"
"1359","3165","2085.0","1","3164","1488"
"1360","299","9903221.0","1","298","133"
"1361","56","9903221.0","1","55","23"
"1362","7361","9702110.0","1","7360","3564"
"1363","9522","9901057.0","1","9521","4736"
"1364","8","9706092.0","1","7","3"
"1365","10","9703168.0","1","9","4"
"1366","7285","9912047.0","1","7284","3541"
"1367","27","9906125.0","1","26","10"
"1368","1247","9909073.0","1","1246","565"
"1369","7322","3064.0","1","7321","3584"
"1370","11549","9309107.0","1","11548","5799"
"1371","11514","9309107.0","1","11513","5780"
"1372","7335","9605140.0","1","7334","3594"
"1373","11514","9309107.0","1","11513","5780"
"1374","11516","9309107.0","1","11515","5781"
"1375","7591","9503002.0","1","7590","3711"
"1376","8809","9511104.0","1","8808","4381"
"1377","8798","9607007.0","1","8797","4371"
"1378","3238","9705152.0","1","3237","1531"
"1379","2","7113.0","1","1","1"
"1380","54","9612083.0","1","53","28"
"1381","7392","9705102.0","1","7391","3598"
"1382","8817","9708115.0","1","8816","4385"
"1383","7","9508006.0","1","6","1"
"1384","12","9904061.0","1","11","5"
"1385","9289","9509074.0","1","9288","4605"
"1386","11965","9602084.0","1","11964","6017"
"1387","10103","9503142.0","1","10102","5022"
"1388","9284","9610107.0","1","9283","4597"
"1389","7400","9702043.0","1","7399","3589"
"1390","7275","9803085.0","1","7274","3530"
"1391","2","9902103.0","1","1","1"
"1392","7407","9707003.0","1","7406","3592"
"1393","3940","9811008.0","1","3939","1867"
"1394","159","205037.0","1","158","65"
"1395","3","2096.0","1","2","1"
