"nodes","citations","no of papers it cite"
"9701106.0","4","9"
"203058.0","0","4"
"206155.0","5","20"
"109097.0","2","9"
"204079.0","8","16"
"9611014.0","20","1"
"9903215.0","8","10"
"9702136.0","47","9"
"209100.0","0","2"
"102031.0","0","3"
"110036.0","0","6"
"9908193.0","2","2"
"108120.0","18","7"
"9809026.0","8","9"
"9709056.0","0","3"
"9810168.0","2","1"
"9804041.0","1","10"
"9811237.0","43","17"
"9809022.0","76","9"
"1106.0","2","14"
"9706072.0","60","7"
"9712185.0","29","23"
"9805018.0","31","6"
"9905183.0","3","25"
"9801121.0","17","6"
"9912073.0","3","26"
"9809032.0","14","18"
"9706207.0","19","15"
"9708063.0","5","12"
"9712077.0","16","15"
"9712159.0","5","21"
"9801120.0","8","18"
"9806066.0","11","15"
"9812239.0","29","43"
"9806214.0","8","21"
"9905037.0","5","33"
"2131.0","3","13"
"4003.0","10","8"
"3215.0","24","40"
"9808124.0","15","12"
"3289.0","3","19"
"9807225.0","13","8"
"9706156.0","2","8"
"8073.0","5","15"
"8205.0","31","32"
"9134.0","0","1"
"9181.0","14","11"
"10237.0","1","11"
"10247.0","6","18"
"12238.0","15","1"
"9705111.0","3","6"
"12081.0","20","50"
"101115.0","3","11"
"9711046.0","2","11"
"9805007.0","8","16"
"9806136.0","9","17"
"102151.0","3","15"
"102200.0","2","17"
"103188.0","8","34"
"9701144.0","7","4"
"108075.0","39","9"
"110093.0","13","20"
"110173.0","6","29"
"9710219.0","6","11"
"201248.0","0","12"
"202027.0","1","7"
"205044.0","0","7"
"205078.0","2","40"
"212345.0","0","8"
"9610181.0","0","5"
"9705188.0","14","2"
"9803124.0","1","12"
"9807071.0","1","15"
"9805106.0","14","2"
"9902205.0","16","23"
"9903068.0","6","11"
"9603069.0","9","11"
"9710073.0","3","3"
"9804125.0","13","2"
"9808156.0","5","7"
"9903002.0","5","12"
"9912088.0","4","15"
"11145.0","1","10"
"9612238.0","13","10"
"12133.0","3","7"
"102190.0","1","6"
"9708017.0","10","10"
"9712018.0","7","11"
"112109.0","0","14"
"202007.0","1","8"
"9603028.0","17","5"
"9710068.0","4","12"
"1035.0","21","8"
"9902098.0","41","13"
"9907200.0","12","6"
"9908041.0","8","4"
"9910251.0","2","13"
"8145.0","10","7"
"8206.0","0","3"
"9704109.0","4","12"
"112160.0","7","5"
"9801009.0","1","4"
"9709206.0","3","34"
"9603109.0","78","5"
"9801053.0","7","10"
"9804019.0","10","16"
"9610171.0","10","7"
"9609052.0","31","7"
"9612200.0","2","4"
"9607113.0","4","2"
"9609220.0","2","4"
"2102.0","2","2"
"2246.0","0","4"
"9911039.0","21","8"
"12030.0","0","11"
"204183.0","2","12"
"9801112.0","0","1"
"9807186.0","5","7"
"9804026.0","52","5"
"9804110.0","23","9"
"9912204.0","30","23"
"9804184.0","22","7"
"9801114.0","11","1"
"206038.0","21","36"
"9907086.0","13","13"
"10200.0","6","19"
"11217.0","11","19"
"103133.0","5","13"
"9611175.0","7","17"
"9712118.0","6","21"
"9607091.0","21","1"
"9705012.0","0","3"
"9711074.0","2","4"
"9706124.0","11","3"
"5120.0","6","7"
"8232.0","8","4"
"9211.0","31","11"
"10282.0","8","10"
"11114.0","8","10"
"107044.0","10","5"
"108101.0","12","32"
"111220.0","1","5"
"204254.0","10","20"
"212294.0","2","20"
"9906190.0","0","5"
"9811010.0","4","34"
"6226.0","7","11"
"9804135.0","3","10"
"9812028.0","7","8"
"9812205.0","12","4"
"11089.0","52","7"
"212235.0","2","11"
"9706127.0","30","9"
"110028.0","27","5"
"9808157.0","12","15"
"9912011.0","2","13"
"9710013.0","0","9"
"9802095.0","0","2"
"9603002.0","32","2"
"9703176.0","12","6"
"211254.0","16","15"
"301226.0","2","19"
"9505082.0","11","0"
"9703227.0","0","1"
"9604078.0","12","14"
"9705181.0","4","8"
"9911255.0","3","5"
"104026.0","9","11"
"9803050.0","7","4"
"9805038.0","4","3"
"9808114.0","1","9"
"9707260.0","6","9"
"203203.0","4","28"
"9811119.0","1","19"
"9607060.0","20","1"
"9802185.0","21","9"
"9806159.0","46","16"
"9701064.0","0","1"
"9811037.0","7","6"
"8015.0","29","24"
"102104.0","3","6"
"106278.0","0","7"
"201269.0","0","1"
"1010.0","5","4"
"9901128.0","37","14"
"9804174.0","21","9"
"2110.0","8","3"
"9605215.0","25","1"
"9907014.0","10","4"
"9607202.0","41","5"
"5221.0","2","5"
"6090.0","4","6"
"9708036.0","16","7"
"9709072.0","9","5"
"102045.0","12","15"
"107164.0","0","10"
"108007.0","11","9"
"203184.0","0","5"
"212332.0","0","25"
"9611016.0","14","8"
"9703171.0","0","6"
"112211.0","3","4"
"9802130.0","2","14"
"9711029.0","3","6"
"9804086.0","1","11"
"9612114.0","11","0"
"4104.0","7","17"
"9805054.0","5","7"
"9710095.0","2","7"
"203020.0","8","14"
"9805203.0","0","4"
"204105.0","1","5"
"212026.0","0","7"
"303155.0","0","6"
"9612207.0","23","3"
"9904172.0","1","3"
"9204060.0","17","0"
"9402114.0","4","5"
"9512138.0","8","2"
"9205004.0","21","0"
"9211047.0","7","3"
"9610154.0","11","1"
"9311143.0","3","2"
"9307145.0","3","4"
"9412033.0","1","2"
"9303015.0","1","2"
"9311127.0","2","3"
"9406045.0","3","3"
"9304026.0","19","0"
"9307166.0","1","4"
"10143.0","0","35"
"9409069.0","3","9"
"9403047.0","3","7"
"9501126.0","0","3"
"9509095.0","11","9"
"9902120.0","14","22"
"9901122.0","26","11"
"9247.0","9","10"
"3166.0","4","11"
"3242.0","14","8"
"9805006.0","7","10"
"7141.0","2","15"
"10269.0","12","12"
"10293.0","6","6"
"101211.0","8","27"
"104200.0","10","19"
"109098.0","4","5"
"111043.0","0","2"
"111113.0","5","16"
"112188.0","8","26"
"203266.0","1","20"
"207125.0","0","18"
"209098.0","5","6"
"302226.0","0","8"
"9802007.0","31","16"
"9912124.0","2","10"
"9809196.0","3","18"
"111066.0","1","13"
"9207091.0","20","0"
"1131.0","9","24"
"9807187.0","16","9"
"9911195.0","10","7"
"2228.0","8","11"
"109094.0","4","9"
"304109.0","0","4"
"9210068.0","19","0"
"301005.0","0","8"
"104064.0","4","1"
"301011.0","5","27"
"9510074.0","22","0"
"7225.0","0","4"
"9904213.0","5","6"
"202116.0","8","5"
"9912080.0","0","8"
"212141.0","1","11"
"212236.0","1","12"
"9512006.0","32","0"
"9608177.0","53","2"
"9809121.0","12","3"
"9812051.0","8","18"
"9909021.0","5","9"
"1194.0","0","7"
"9710236.0","8","2"
"9811130.0","8","5"
"3097.0","1","2"
"9905108.0","3","4"
"9911166.0","4","4"
"12098.0","0","8"
"9707056.0","1","8"
"101195.0","8","13"
"103136.0","7","19"
"9604062.0","3","2"
"303016.0","1","22"
"8112.0","13","34"
"9610001.0","1","5"
"110277.0","4","7"
"112118.0","0","9"
"112192.0","2","6"
"9611182.0","0","12"
"9909228.0","8","7"
"9707087.0","13","6"
"3213.0","4","19"
"9804056.0","6","2"
"9606073.0","2","0"
"9612202.0","17","2"
"102114.0","5","7"
"9702167.0","1","6"
"9612105.0","23","3"
"9703156.0","6","11"
"9701054.0","9","3"
"9806062.0","5","16"
"104155.0","2","2"
"203076.0","0","11"
"303111.0","0","5"
"1168.0","5","10"
"9512161.0","45","2"
"9607109.0","40","3"
"9903087.0","4","9"
"9607239.0","21","1"
"5053.0","4","12"
"5280.0","3","19"
"9911115.0","7","8"
"9709001.0","7","9"
"10184.0","0","5"
"9712177.0","7","6"
"103204.0","1","10"
"105289.0","4","8"
"107114.0","1","13"
"108023.0","1","8"
"9809052.0","2","13"
"201267.0","2","13"
"9609123.0","4","5"
"209085.0","15","13"
"211245.0","12","21"
"211259.0","10","16"
"301071.0","4","37"
"301136.0","4","25"
"301196.0","1","11"
"9603075.0","1","1"
"9612191.0","3","3"
"107038.0","0","15"
"9911130.0","1","5"
"9703122.0","0","4"
"210244.0","0","4"
"9905023.0","0","6"
"9705229.0","5","6"
"9803217.0","6","9"
"9711194.0","6","11"
"9604023.0","1","2"
"9703115.0","1","4"
"9904201.0","1","4"
"9901093.0","12","5"
"4151.0","5","13"
"7082.0","5","4"
"7250.0","7","24"
"101186.0","1","14"
"101224.0","0","4"
"107220.0","4","20"
"9604094.0","2","6"
"210096.0","3","10"
"211291.0","15","13"
"212193.0","1","26"
"302165.0","1","5"
"303069.0","0","1"
"9707009.0","9","8"
"9704153.0","5","5"
"9807082.0","16","11"
"9906081.0","12","21"
"9810092.0","19","14"
"9803186.0","4","14"
"9803069.0","1","17"
"9908075.0","7","15"
"3183.0","15","28"
"9047.0","17","7"
"10170.0","4","4"
"11155.0","3","2"
"101064.0","1","19"
"105108.0","12","10"
"202126.0","7","12"
"205236.0","4","27"
"212252.0","0","21"
"9804029.0","3","13"
"9803033.0","6","9"
"9709096.0","7","10"
"9803197.0","5","22"
"9904155.0","0","4"
"1101.0","1","8"
"9706226.0","7","2"
"9703007.0","15","0"
"7076.0","4","8"
"9612247.0","0","2"
"205073.0","0","17"
"9911190.0","13","6"
"9912070.0","17","7"
"9710097.0","21","8"
"1118.0","5","1"
"9909154.0","14","9"
"9705118.0","5","19"
"9711106.0","29","7"
"9801127.0","22","2"
"9705241.0","22","10"
"3145.0","26","21"
"3294.0","8","2"
"4141.0","21","14"
"5165.0","4","5"
"6091.0","22","14"
"9708137.0","9","12"
"9706196.0","11","21"
"9711051.0","0","3"
"11281.0","4","10"
"9901055.0","4","9"
"9806053.0","1","1"
"102132.0","0","7"
"103052.0","5","9"
"103158.0","1","10"
"104210.0","0","5"
"106140.0","6","14"
"106235.0","4","7"
"9705056.0","13","10"
"110119.0","0","13"
"9706187.0","3","8"
"202014.0","1","38"
"203098.0","1","7"
"205317.0","1","17"
"209200.0","1","21"
"211288.0","0","29"
"9709098.0","5","25"
"9807114.0","0","4"
"1189.0","3","9"
"9612157.0","93","6"
"6189.0","8","4"
"9213.0","6","30"
"12035.0","12","28"
"12193.0","3","27"
"101043.0","10","19"
"9605030.0","15","13"
"9605039.0","8","16"
"6099.0","2","2"
"12069.0","4","5"
"9612019.0","9","8"
"9706062.0","6","5"
"9707239.0","7","3"
"106133.0","4","8"
"108040.0","6","16"
"110054.0","3","18"
"205062.0","0","21"
"206145.0","0","23"
"207028.0","2","5"
"207033.0","1","4"
"207143.0","0","13"
"9612158.0","0","6"
"9801156.0","0","2"
"9907164.0","7","13"
"103080.0","15","20"
"207232.0","0","3"
"9812249.0","0","3"
"9812097.0","6","8"
"109063.0","8","6"
"9610043.0","567","1"
"1011.0","2","9"
"9612115.0","159","1"
"9910004.0","73","11"
"9911041.0","37","18"
"9812218.0","6","19"
"9802042.0","150","7"
"9712168.0","4","27"
"9809095.0","9","16"
"9809130.0","13","9"
"9907100.0","12","15"
"9911153.0","8","6"
"9712117.0","47","20"
"9805080.0","5","9"
"9903050.0","4","10"
"9904182.0","9","9"
"9812034.0","32","11"
"9803231.0","27","46"
"9912165.0","14","22"
"2001.0","0","2"
"9705128.0","34","4"
"9710191.0","8","2"
"9703077.0","9","6"
"9706027.0","6","4"
"9710009.0","119","8"
"9710174.0","28","8"
"9710178.0","33","8"
"9711078.0","40","19"
"9802187.0","7","9"
"9803191.0","2","20"
"9808183.0","4","21"
"9810075.0","10","12"
"9901079.0","28","6"
"9910001.0","7","23"
"9901104.0","5","8"
"9805136.0","9","20"
"9810224.0","8","11"
"9811213.0","11","9"
"9612198.0","16","1"
"2107.0","2","9"
"9805046.0","4","9"
"9806178.0","4","24"
"9704037.0","14","2"
"9707190.0","16","3"
"9711010.0","4","10"
"9804170.0","64","7"
"2194.0","6","11"
"9812143.0","3","21"
"3065.0","0","5"
"9803120.0","7","9"
"9803027.0","13","3"
"9908153.0","1","10"
"3132.0","0","2"
"9909213.0","0","2"
"4147.0","45","48"
"9903025.0","4","13"
"9904042.0","3","3"
"9808035.0","8","15"
"3208.0","18","29"
"9611103.0","20","3"
"9703218.0","39","6"
"9707162.0","11","4"
"9801051.0","5","7"
"9802082.0","6","8"
"9805212.0","3","7"
"9811220.0","15","4"
"9903037.0","6","15"
"3223.0","7","8"
"9908106.0","4","14"
"9908152.0","15","6"
"9909119.0","1","20"
"9912241.0","1","21"
"4072.0","15","8"
"9912130.0","9","19"
"9710032.0","6","1"
"9905087.0","4","16"
"9904094.0","2","9"
"5031.0","101","32"
"5055.0","1","7"
"5111.0","1","32"
"9708129.0","6","7"
"9812119.0","3","4"
"5147.0","8","24"
"5156.0","3","5"
"9803170.0","11","7"
"9902106.0","3","20"
"9709108.0","32","5"
"6137.0","10","11"
"6168.0","9","8"
"6193.0","14","21"
"9705005.0","5","2"
"9807229.0","3","4"
"7127.0","5","14"
"7146.0","43","8"
"7155.0","0","6"
"7166.0","3","4"
"9701119.0","8","2"
"9703052.0","23","4"
"7198.0","2","5"
"9904086.0","2","16"
"8013.0","50","9"
"8029.0","1","10"
"8144.0","13","13"
"8203.0","17","11"
"9028.0","3","10"
"9711034.0","3","2"
"9907128.0","1","12"
"10047.0","0","4"
"10105.0","15","13"
"9808119.0","10","10"
"10158.0","2","12"
"11038.0","4","17"
"12054.0","16","7"
"11085.0","1","9"
"9611215.0","39","1"
"11122.0","2","16"
"11131.0","21","17"
"11223.0","3","13"
"12023.0","9","11"
"12061.0","2","17"
"12247.0","3","22"
"9901152.0","3","19"
"9705215.0","1","5"
"101016.0","9","32"
"101084.0","2","8"
"9612144.0","7","2"
"9712021.0","8","10"
"9801034.0","4","10"
"9806173.0","4","20"
"9902043.0","0","9"
"9805126.0","7","4"
"101216.0","2","15"
"102077.0","27","14"
"103003.0","4","11"
"103159.0","5","14"
"103192.0","7","27"
"9801181.0","1","7"
"9712202.0","7","8"
"9712236.0","13","6"
"104076.0","3","7"
"104111.0","0","10"
"104132.0","2","16"
"104260.0","8","13"
"106011.0","9","18"
"9703073.0","3","7"
"106184.0","21","7"
"9806225.0","2","20"
"107067.0","11","11"
"107068.0","1","2"
"107110.0","4","24"
"107250.0","1","6"
"204240.0","5","10"
"9810050.0","1","14"
"108176.0","8","18"
"108207.0","7","10"
"109112.0","0","10"
"109157.0","0","5"
"110106.0","1","5"
"110172.0","3","13"
"111059.0","2","30"
"111121.0","3","22"
"111240.0","0","1"
"111249.0","5","18"
"112141.0","0","8"
"201140.0","2","32"
"201183.0","3","10"
"205213.0","17","27"
"9906060.0","1","9"
"202065.0","3","31"
"202173.0","2","9"
"203017.0","0","10"
"9803028.0","22","16"
"203095.0","7","8"
"204196.0","18","17"
"204243.0","0","6"
"204256.0","4","19"
"205185.0","21","16"
"205265.0","2","17"
"206075.0","3","13"
"206090.0","11","19"
"206097.0","0","10"
"9705126.0","0","1"
"206116.0","0","6"
"206132.0","9","8"
"206157.0","0","8"
"206239.0","2","15"
"206255.0","47","8"
"207034.0","11","9"
"207061.0","9","6"
"207115.0","2","13"
"207190.0","5","14"
"207209.0","1","8"
"207264.0","7","6"
"208161.0","5","16"
"208220.0","0","1"
"209057.0","1","22"
"209081.0","4","16"
"209105.0","1","3"
"209140.0","0","1"
"209182.0","2","9"
"209219.0","3","12"
"209225.0","5","21"
"210047.0","1","6"
"210134.0","0","28"
"210212.0","1","17"
"210243.0","0","11"
"211029.0","4","25"
"211139.0","2","8"
"211160.0","2","6"
"211272.0","2","5"
"212041.0","1","7"
"212044.0","0","8"
"212297.0","0","12"
"301090.0","0","7"
"301223.0","0","1"
"302010.0","0","10"
"302138.0","0","5"
"9806096.0","5","16"
"303055.0","0","21"
"303210.0","1","17"
"9703133.0","4","7"
"9704086.0","3","14"
"9705045.0","1","9"
"9705242.0","5","3"
"9706146.0","0","5"
"9707023.0","2","2"
"9707146.0","0","10"
"9707171.0","2","6"
"9709006.0","0","15"
"9712142.0","0","17"
"9801085.0","3","8"
"9801154.0","0","8"
"9802091.0","2","7"
"9802182.0","0","5"
"9806019.0","2","7"
"9901158.0","1","18"
"9903233.0","0","4"
"9906137.0","1","6"
"9907016.0","0","1"
"9907033.0","0","9"
"9907036.0","0","8"
"9907130.0","0","11"
"9908053.0","0","9"
"9803088.0","7","11"
"9811207.0","1","6"
"9906119.0","12","7"
"9801091.0","3","2"
"205307.0","2","3"
"9609136.0","1","3"
"9910212.0","0","2"
"9704021.0","13","6"
"9608020.0","1","2"
"9909027.0","2","21"
"211042.0","6","33"
"9911147.0","14","17"
"6023.0","20","17"
"6236.0","29","27"
"8103.0","1","18"
"9095.0","1","22"
"9182.0","18","27"
"12142.0","1","12"
"107127.0","0","19"
"201232.0","0","21"
"9909098.0","12","7"
"9902206.0","0","12"
"111044.0","0","13"
"9706144.0","10","3"
"103182.0","0","4"
"9902204.0","1","3"
"12240.0","2","1"
"9908044.0","19","15"
"2007.0","8","11"
"9910028.0","5","9"
"9802186.0","4","6"
"9710072.0","1","6"
"107252.0","0","10"
"109052.0","0","5"
"201111.0","3","4"
"9709048.0","1","3"
"1205.0","6","11"
"9903128.0","7","35"
"9911223.0","3","2"
"204054.0","44","27"
"206191.0","0","5"
"9902116.0","12","4"
"104147.0","18","15"
"110071.0","6","12"
"111069.0","17","18"
"201202.0","0","4"
"1041.0","18","34"
"9806016.0","6","1"
"9808060.0","10","6"
"9905163.0","6","4"
"9908107.0","4","2"
"9902068.0","2","7"
"9710063.0","9","2"
"4123.0","1","9"
"5074.0","0","4"
"7017.0","3","10"
"7037.0","4","4"
"9712007.0","1","7"
"8161.0","2","3"
"107051.0","2","14"
"107061.0","5","9"
"9712205.0","3","9"
"203238.0","1","10"
"9806099.0","18","21"
"9812149.0","12","6"
"9912214.0","5","3"
"9702199.0","3","3"
"9709178.0","6","4"
"9710168.0","1","1"
"209115.0","1","13"
"9804043.0","0","5"
"9709193.0","25","2"
"6113.0","4","6"
"9907165.0","1","6"
"9804104.0","8","4"
"9802170.0","0","1"
"9806041.0","6","30"
"105045.0","16","2"
"207006.0","3","17"
"210167.0","0","14"
"9611092.0","5","4"
"9702194.0","1","23"
"9612060.0","0","2"
"9801191.0","0","7"
"9812212.0","1","4"
"107143.0","34","21"
"9909003.0","2","2"
"9703101.0","13","12"
"5010.0","3","7"
"101215.0","0","3"
"206129.0","1","6"
"210311.0","0","2"
"9801057.0","13","0"
"9908019.0","26","16"
"1027.0","26","9"
"9903107.0","46","18"
"9903187.0","49","3"
"9910091.0","21","14"
"9912072.0","160","8"
"9912075.0","41","14"
"9912094.0","53","6"
"9807198.0","27","12"
"9910138.0","14","16"
"9910135.0","15","6"
"9910196.0","16","11"
"9803031.0","76","1"
"9908056.0","86","3"
"9908134.0","75","10"
"9805034.0","44","6"
"1111.0","7","14"
"9909132.0","9","2"
"9911245.0","13","12"
"9912293.0","11","5"
"1135.0","5","10"
"1144.0","7","16"
"9901080.0","37","17"
"9911057.0","11","6"
"9911193.0","2","15"
"9907114.0","6","18"
"9912153.0","18","13"
"1218.0","3","3"
"9912036.0","7","14"
"9907144.0","5","10"
"9712201.0","28","14"
"9804001.0","24","10"
"2084.0","23","17"
"9810185.0","16","7"
"9811159.0","14","4"
"9901077.0","13","5"
"9902187.0","2","14"
"9907008.0","7","7"
"9912212.0","2","9"
"2090.0","14","12"
"9804188.0","10","12"
"9912174.0","3","5"
"2158.0","30","17"
"2187.0","2","22"
"2212.0","1","2"
"2236.0","13","6"
"2250.0","1","24"
"3012.0","13","4"
"9803166.0","24","6"
"3024.0","18","22"
"3093.0","12","7"
"105085.0","10","17"
"3099.0","8","8"
"9801170.0","11","1"
"9804120.0","11","2"
"9803067.0","33","9"
"3160.0","121","28"
"3180.0","30","27"
"3231.0","13","14"
"3234.0","0","13"
"9911026.0","1","2"
"4062.0","7","5"
"4085.0","7","12"
"5123.0","13","10"
"5040.0","66","11"
"5048.0","81","11"
"5059.0","10","18"
"5138.0","4","4"
"5174.0","5","5"
"5178.0","1","23"
"5204.0","52","16"
"5205.0","3","6"
"5222.0","13","4"
"5272.0","26","25"
"6058.0","3","16"
"6056.0","5","19"
"7050.0","8","25"
"7078.0","20","18"
"7140.0","10","14"
"7217.0","12","11"
"7255.0","11","9"
"8020.0","1","9"
"8042.0","30","23"
"8089.0","6","22"
"8108.0","7","8"
"8118.0","9","11"
"8120.0","2","5"
"8132.0","11","12"
"8214.0","6","8"
"9067.0","7","4"
"9098.0","3","15"
"9141.0","6","20"
"9163.0","4","7"
"9196.0","11","14"
"10026.0","4","30"
"10034.0","13","9"
"10038.0","1","13"
"10090.0","46","13"
"10101.0","16","9"
"10113.0","14","17"
"11172.0","29","4"
"102157.0","10","6"
"10221.0","14","24"
"10264.0","14","6"
"10275.0","11","21"
"11035.0","3","5"
"11090.0","1","16"
"11125.0","35","19"
"11140.0","9","18"
"11205.0","5","14"
"11206.0","2","1"
"11218.0","12","21"
"11233.0","6","25"
"11252.0","2","12"
"12009.0","15","34"
"12059.0","1","15"
"12065.0","7","20"
"12145.0","25","22"
"12154.0","2","5"
"12170.0","7","9"
"12218.0","19","38"
"12262.0","3","9"
"12266.0","8","24"
"101092.0","2","1"
"101145.0","10","16"
"105087.0","6","18"
"101209.0","9","14"
"102016.0","7","25"
"102092.0","8","25"
"102129.0","11","20"
"102141.0","0","12"
"102158.0","3","12"
"102182.0","11","11"
"102188.0","11","19"
"103128.0","1","25"
"103139.0","6","25"
"103179.0","21","5"
"103199.0","4","9"
"103217.0","7","4"
"103258.0","1","5"
"103261.0","2","5"
"104021.0","3","25"
"104086.0","0","14"
"104243.0","1","21"
"104244.0","4","6"
"105002.0","1","2"
"107115.0","5","26"
"105187.0","4","16"
"105257.0","8","27"
"105311.0","12","52"
"106024.0","5","14"
"106025.0","0","8"
"106110.0","4","8"
"106180.0","3","19"
"106181.0","4","19"
"107033.0","2","6"
"107087.0","1","14"
"107121.0","5","11"
"107147.0","3","23"
"107184.0","1","11"
"107225.0","4","4"
"108002.0","1","22"
"108046.0","1","6"
"108154.0","0","11"
"9911075.0","1","2"
"109066.0","0","6"
"109091.0","1","11"
"109107.0","3","33"
"109111.0","4","15"
"109176.0","5","24"
"109209.0","8","32"
"110066.0","5","26"
"110134.0","3","9"
"110147.0","1","5"
"110203.0","1","19"
"110268.0","0","4"
"110293.0","5","24"
"111054.0","0","17"
"111133.0","0","13"
"201070.0","6","27"
"111208.0","21","69"
"112050.0","7","21"
"112246.0","2","3"
"112248.0","8","20"
"201033.0","0","5"
"201144.0","7","17"
"201196.0","4","16"
"201223.0","0","4"
"201228.0","3","13"
"201259.0","1","7"
"202137.0","3","16"
"202202.0","1","7"
"203047.0","3","13"
"203099.0","8","15"
"203109.0","5","15"
"203125.0","4","16"
"203166.0","3","14"
"205210.0","4","17"
"203260.0","4","14"
"204102.0","1","14"
"204109.0","1","10"
"204163.0","1","14"
"204221.0","5","13"
"204248.0","1","5"
"205024.0","5","12"
"205054.0","0","2"
"205093.0","0","11"
"205214.0","3","20"
"205269.0","6","5"
"205283.0","3","21"
"206006.0","1","38"
"207097.0","0","17"
"207160.0","0","2"
"207236.0","0","10"
"208162.0","1","13"
"209117.0","0","14"
"209223.0","2","6"
"209139.0","2","22"
"209164.0","0","21"
"210084.0","0","3"
"210203.0","1","22"
"210271.0","0","12"
"211068.0","0","4"
"211129.0","1","25"
"212107.0","0","13"
"212266.0","0","3"
"212284.0","0","23"
"212329.0","0","4"
"301066.0","0","21"
"301112.0","0","6"
"301200.0","0","8"
"302224.0","0","8"
"303120.0","0","22"
"304030.0","0","4"
"304090.0","0","21"
"9806013.0","2","5"
"9807154.0","0","14"
"9809166.0","0","2"
"9901008.0","1","18"
"9905055.0","2","22"
"9711165.0","230","0"
"9903077.0","55","6"
"9909202.0","21","10"
"9810219.0","29","14"
"9907166.0","64","5"
"9909215.0","38","22"
"1105.0","4","4"
"9812219.0","129","12"
"9906192.0","73","7"
"9909085.0","14","14"
"9912288.0","3","18"
"9910092.0","11","12"
"9911183.0","2","18"
"2198.0","6","10"
"4011.0","10","18"
"4013.0","22","24"
"4080.0","12","15"
"5015.0","51","9"
"5054.0","4","22"
"5073.0","28","18"
"6013.0","13","17"
"6014.0","6","18"
"6160.0","14","4"
"7215.0","14","33"
"8002.0","8","28"
"8057.0","24","22"
"8119.0","8","39"
"9009.0","5","9"
"9233.0","13","23"
"10027.0","0","16"
"10072.0","7","12"
"10204.0","19","5"
"10244.0","6","7"
"10256.0","7","26"
"11034.0","4","7"
"11119.0","2","19"
"12200.0","2","16"
"12018.0","2","8"
"12024.0","8","38"
"12239.0","1","17"
"12259.0","8","11"
"101082.0","5","15"
"101095.0","2","9"
"103069.0","16","11"
"103090.0","7","4"
"103101.0","4","15"
"103196.0","10","29"
"104054.0","6","25"
"104232.0","1","24"
"105056.0","0","2"
"106205.0","11","9"
"108095.0","2","10"
"109125.0","1","12"
"110100.0","0","3"
"110191.0","5","24"
"112153.0","1","13"
"202131.0","3","22"
"203151.0","5","19"
"203186.0","28","22"
"205258.0","11","16"
"206009.0","1","16"
"9910258.0","1","4"
"9403040.0","39","1"
"9701142.0","7","6"
"205183.0","24","9"
"9404166.0","0","1"
"9511194.0","61","0"
"9607038.0","2","1"
"9902073.0","8","19"
"2211.0","71","19"
"9707167.0","3","3"
"9612215.0","8","4"
"108178.0","1","13"
"110091.0","0","4"
"112147.0","18","26"
"204203.0","13","47"
"211180.0","2","29"
"9802164.0","5","5"
"9905024.0","4","8"
"202109.0","110","20"
"211122.0","5","2"
"212184.0","4","12"
"9906206.0","15","26"
"9801135.0","7","18"
"7235.0","11","18"
"10066.0","3","5"
"9904020.0","8","8"
"9906153.0","2","23"
"9908047.0","11","8"
"9710181.0","15","4"
"9807179.0","18","11"
"9902197.0","7","12"
"9906210.0","2","10"
"2118.0","3","16"
"9903156.0","9","7"
"9904041.0","6","11"
"9807197.0","4","5"
"9901073.0","9","7"
"9906244.0","8","10"
"9903257.0","2","6"
"5215.0","1","4"
"6060.0","16","12"
"9903213.0","10","24"
"9910098.0","3","15"
"9802175.0","5","4"
"7100.0","7","8"
"8052.0","10","8"
"8068.0","0","15"
"8247.0","3","11"
"10251.0","15","19"
"12072.0","32","11"
"102174.0","7","30"
"106059.0","4","7"
"110245.0","0","10"
"211090.0","7","24"
"205303.0","6","19"
"207136.0","5","11"
"208011.0","1","14"
"209232.0","2","33"
"211036.0","0","16"
"303170.0","0","7"
"303172.0","1","69"
"9709196.0","1","2"
"9804175.0","7","15"
"112106.0","3","9"
"9912249.0","98","12"
"2117.0","57","12"
"2237.0","67","14"
"4015.0","21","10"
"4112.0","7","9"
"4131.0","6","10"
"5202.0","3","10"
"5242.0","11","15"
"6033.0","8","48"
"8101.0","19","8"
"10045.0","5","27"
"11002.0","9","25"
"102071.0","7","24"
"103056.0","5","20"
"106107.0","4","15"
"112214.0","8","42"
"203108.0","2","31"
"204191.0","3","13"
"204204.0","23","20"
"208068.0","0","6"
"209255.0","4","55"
"304213.0","0","17"
"9806087.0","115","13"
"9808149.0","56","15"
"9912257.0","10","31"
"9912156.0","11","12"
"9812117.0","11","5"
"2086.0","1","16"
"9806158.0","13","14"
"9806162.0","9","10"
"9807205.0","12","7"
"9805131.0","37","38"
"2255.0","0","9"
"3050.0","8","31"
"9809055.0","3","11"
"5163.0","8","9"
"9908162.0","4","19"
"9903195.0","1","18"
"9808143.0","5","22"
"9903080.0","3","12"
"202150.0","8","17"
"205100.0","7","24"
"9807156.0","1","15"
"211152.0","2","18"
"9812134.0","0","2"
"9805170.0","155","0"
"1084.0","42","5"
"3220.0","24","8"
"8053.0","24","18"
"8064.0","11","6"
"8227.0","25","18"
"9103.0","84","11"
"9105.0","24","19"
"9214.0","2","12"
"9246.0","34","9"
"10021.0","14","15"
"10190.0","13","9"
"11009.0","21","17"
"11071.0","0","2"
"102085.0","36","44"
"106179.0","10","4"
"105098.0","8","12"
"105188.0","2","14"
"106002.0","2","28"
